age,income,employment_length,utility_payment_score,social_media_score,psychometric_score,smartphone_usage_score,default
37,62936,14,1.0,0.0,1.0,0.0,0
10,55584,0,0.5879875642837298,0.0,1.0,1.0,0
15,51626,0,0.5059263016462512,0.0,1.0,0.0,0
29,33603,15,0.0,0.0,1.0,1.0,0
7,58409,0,1.0,0.0,1.0,0.0,0
54,61669,6,1.0,0.0,1.0,0.0,0
33,23629,12,0.0,0.0,1.0,0.0,0
18,51819,0,1.0,0.0,1.0,0.0,0
72,43899,5,1.0,0.0,1.0,1.0,1
28,54635,6,1.0,0.0,1.0,0.15773520761168094,0
25,50770,15,0.0,0.0,1.0,0.6787426017187439,0
72,40727,11,1.0,0.8394193378463108,1.0,1.0,0
27,61994,5,1.0,0.0,0.8284536898824649,0.0,0
14,86914,11,0.0,0.0,1.0,0.0,1
61,58126,7,0.8958489134329156,0.0,0.6777219727368985,0.0,0
53,74884,5,1.0,0.0,0.0,0.0,1
18,64894,0,0.7866404072414339,0.0,0.0,0.0,0
54,55087,9,1.0,0.0,1.0,0.0,0
77,47860,16,0.7129327850083355,0.4619619851371506,0.17016625853464173,0.0,1
29,44859,6,1.0,0.0,1.0,0.04056454809536032,0
-4,44623,0,0.0,0.0,0.7028932371317697,0.0,0
57,36560,13,0.0,1.0,0.0,0.3348944417522922,1
24,38569,9,0.0,0.0,1.0,0.0,1
69,41192,6,1.0,0.0,0.5110263006917817,0.08595738801721546,0
56,79249,9,1.0,0.0,1.0,1.0,0
-19,48190,8,0.0,0.0,1.0,0.0,1
8,31324,0,0.0,0.0,1.0,0.0,0
54,53681,12,1.0,0.0,0.0,0.39844804551200075,1
56,40275,12,1.0,1.0,0.0,0.1343281002678751,1
20,52117,1,1.0,0.0,0.0,0.3957354624650479,0
49,25581,10,0.0,0.0,0.7747757546398686,0.6473326855134786,0
10,42515,12,0.0,0.0,0.0,0.0,1
5,65857,13,0.0,0.0,1.0,0.32843299058154907,1
56,54883,10,0.0,0.0,1.0,0.43782376624357244,1
60,45276,3,1.0,0.0,1.0,0.6291750910507029,0
49,66674,10,1.0,0.0,1.0,1.0,0
48,44799,8,0.9003365645272111,0.0,1.0,0.0,0
16,43914,2,1.0,0.0,1.0,0.7394094886164625,1
16,34618,0,0.0,0.0,1.0,0.0,0
38,59614,3,1.0,0.0,0.07670092376523518,0.0,0
60,52268,5,1.0,0.0,0.7569638022486761,0.8569962449162634,0
42,30884,8,0.19631178594316068,0.0,1.0,0.29703947087987503,0
87,45044,6,1.0,0.0,1.0,0.0,0
43,41958,9,0.8579681433917369,1.0,0.0,0.0,1
-12,59176,11,0.0,0.0,1.0,0.0,1
48,28292,7,1.0,1.0,0.0,0.0,1
27,51519,4,0.0,0.0,0.0,0.44339795063605675,1
-6,6735,0,0.0,0.038955541271230576,1.0,0.0,0
28,50626,9,1.0,0.0,1.0,0.0,0
13,39723,3,1.0,0.0,1.0,0.34669762850166363,0
48,47048,14,0.2992184682715693,0.6231947079892444,1.0,0.8773505067396974,0
65,49163,8,1.0,0.0,1.0,0.11544263616427654,0
72,50137,6,1.0,0.0,1.0,0.0,0
32,37472,10,0.0,0.0,1.0,0.3913375808446224,1
60,44768,7,1.0,0.0,1.0,0.0,0
41,44990,13,0.555288682808154,0.0,1.0,0.2128198468830529,0
43,52527,11,0.8267450918478159,0.0,1.0,0.0,0
43,35371,10,1.0,0.3917891343498261,0.0,1.0,1
27,44913,4,1.0,0.0,1.0,0.0,0
13,57270,0,0.0,0.0,0.0,0.0,0
0,33327,0,1.0,0.0,1.0,0.0,0
59,17393,4,1.0,0.0,1.0,1.0,0
43,33187,7,0.5414526945659147,0.0,0.8851467653439293,0.05658018930545408,0
44,41998,6,1.0,1.0,0.0,1.0,1
18,79615,16,0.0,0.0,1.0,0.0,0
42,39885,7,1.0,0.0,0.9294077986802055,0.0,0
4,51220,4,1.0,0.0,1.0,0.0,0
25,62958,6,0.0,0.0,1.0,0.0,1
41,20627,8,0.8533041019372916,0.0,1.0,0.0,0
14,57743,0,1.0,0.0,1.0,0.5823769459527517,0
32,32973,2,0.4172204458978206,0.0,0.2297561253403957,0.23286061196457572,0
58,61927,17,0.9028919461306506,0.0,0.0,0.6029641034412616,1
17,32953,0,0.5903860333992993,0.0,1.0,0.5970725610113586,0
28,42854,0,1.0,1.0,0.0,0.055042557281043424,1
16,49947,6,0.0,0.0,1.0,0.0,1
19,57596,0,0.5590599033915704,0.0,0.0,0.9079991561824573,0
54,60740,6,1.0,0.0,1.0,0.0,0
15,69386,0,0.0,0.0,0.0,0.0,0
59,53862,7,1.0,0.0,1.0,0.0,0
15,85574,7,0.0,0.0,1.0,0.11159971690151374,1
43,45966,10,0.6577005945101506,0.0,1.0,0.0,0
80,54928,16,0.0,0.9428518151826893,0.0,0.0,1
39,80797,3,1.0,1.0,0.0,0.0,1
4,44343,0,1.0,0.0,1.0,0.0,0
35,71062,8,0.8117984552173373,0.0,1.0,0.0,0
54,42765,8,1.0,0.0,1.0,0.0,0
36,56232,3,1.0,1.0,0.0,0.0,1
56,55852,19,0.26219128070759123,0.0,0.0,0.7506927951289866,1
28,69072,2,1.0,0.0,0.4369068402231402,0.9502571938685426,0
52,56648,6,1.0,0.0,0.6562191434642489,0.0,0
3,42505,0,0.0,0.0,1.0,0.5173372946836405,0
17,38147,0,0.45712616695802066,0.0,0.0,0.20441437150141376,0
36,63796,6,1.0,0.0,1.0,0.0,0
25,57909,9,0.0,0.0,1.0,0.0,1
10,44835,0,1.0,0.0,1.0,1.0,0
2,55054,1,1.0,0.0,1.0,1.0,0
42,52751,5,0.9671612094848737,0.0,0.3559631477215339,0.0,0
33,60665,10,0.0,0.0,0.0,0.0,1
42,53162,12,1.0,0.0,0.21642682375935762,0.0,0
39,25922,9,0.0,0.0,1.0,0.0,1
14,44538,0,1.0,0.0,0.7586222630968973,0.0,0
26,55022,11,0.4703805939333221,0.0,1.0,0.0,0
57,45610,2,1.0,0.0,0.18184766552000986,0.0,0
50,41084,17,0.37766084542727696,0.0,0.0,1.0,1
25,71894,3,1.0,0.0,1.0,0.2099726215246312,0
45,81050,8,0.4602926479482061,0.0,0.5465142950103288,1.0,0
78,52607,2,1.0,0.0,0.4780826100548339,0.0,0
33,58082,9,0.26533426968062535,0.0,1.0,0.0,0
46,61900,8,0.9315090756623444,0.0,1.0,0.0,0
72,64221,6,1.0,0.0,1.0,0.0,0
12,43654,9,0.0,0.0,1.0,0.0,1
86,31940,7,1.0,0.0,1.0,0.0,0
99,55001,3,1.0,0.0,1.0,0.10175105077163865,0
78,80542,11,1.0,1.0,1.0,0.8403568239355511,0
21,47372,1,1.0,0.0,1.0,0.0,0
16,58738,0,0.43336207359395007,0.0,0.3611731858119229,1.0,0
20,28212,0,1.0,0.0,1.0,0.40146414186699486,0
16,42634,2,0.7220065879461068,0.0,0.6107493983670389,0.0,0
27,64900,0,1.0,0.0,1.0,0.0,0
63,23678,11,0.9491605334454494,0.0,1.0,0.0,0
18,54448,0,0.9479619643041332,0.0,1.0,0.0,0
13,34684,0,0.0,0.0,1.0,0.6652715062900945,0
32,36735,7,0.1506312249313131,0.0,0.0,0.02479863462860666,0
-9,65022,16,0.0,0.0,1.0,0.0,1
33,68787,7,0.0,0.0,0.0,0.0,1
46,29218,9,1.0,0.029804296063657088,1.0,1.0,0
24,33691,3,0.0,0.0,0.86080208671417,0.6906305697567595,0
18,38205,0,0.0,0.0,0.9430273715158455,1.0,0
52,44325,10,1.0,0.44152363886965884,0.0,0.0,1
27,52084,4,0.0,0.0,1.0,0.0,1
3,29441,0,0.23817359147390138,0.0,1.0,0.0,0
61,34765,10,0.25187353334711093,1.0,0.0,0.09636924005999573,1
16,67931,0,0.08015672007347452,0.0,0.8925503143999852,0.0,0
54,64509,9,1.0,0.0,1.0,0.0,0
38,53419,7,1.0,1.0,0.0,0.7062309747670698,1
16,42391,10,0.0,0.0,0.0,0.0,1
23,55699,0,1.0,0.0,1.0,0.0,0
81,37437,5,1.0,0.0,1.0,0.11965930451893353,0
59,36958,6,1.0,0.0,0.6332357447226509,0.3985640658920072,0
56,25832,8,1.0,0.0,1.0,0.3609860825370816,0
83,60080,10,1.0,1.0,1.0,0.0,0
63,59280,13,1.0,0.5696216250450292,1.0,0.5117789786504942,0
47,64408,14,1.0,0.0,0.0,0.0,1
22,42652,0,0.0,0.0,0.3879727920370173,0.4768135950246047,0
13,50673,0,0.42522376808339235,0.0,0.5483108312501778,0.0,0
46,73686,6,1.0,0.39921968931712315,0.0,0.22525845349509843,1
12,56103,0,0.33672532327535887,0.0,1.0,0.2401144977218622,0
28,39596,10,0.0,0.0,0.09175903410965147,0.11831114811666943,1
4,24497,0,0.0,0.0,1.0,0.9690405516353497,0
12,37091,0,0.04787797668070115,0.0,0.0,0.5723852323079027,0
54,46035,4,1.0,0.0,0.5385007602321727,1.0,0
24,46168,0,0.0,0.0,0.0,0.0,0
60,69204,4,1.0,1.0,0.0,0.7388232834503655,1
-3,60104,11,0.0,0.0,0.0,0.0,1
15,34482,3,1.0,0.0,1.0,0.0,0
18,23581,7,0.0,0.0,0.6486408720623846,0.0,1
23,49480,2,0.6181840725167387,0.0,0.0,0.5032602265255054,0
23,55809,7,1.0,0.0,1.0,1.0,0
6,36869,0,0.31111427056671315,0.0,1.0,0.0,0
54,75005,15,1.0,1.0,1.0,0.0,0
18,77172,4,1.0,0.0,1.0,0.0,0
17,65904,7,0.0,0.0,0.8074578500040741,0.0,1
8,51906,11,0.0,0.0,1.0,0.7407563785031073,1
66,51780,6,1.0,0.0,1.0,0.0,0
53,52540,7,1.0,0.0,1.0,1.0,0
53,15058,12,0.4265555648445931,0.0,1.0,0.030747583087498632,0
38,57526,11,1.0,0.0,1.0,0.22441720794411618,0
36,35356,12,0.0,0.0,1.0,0.0,0
39,60087,4,1.0,1.0,0.0,0.2921972948833408,1
71,50128,9,1.0,0.0,0.8787962487613886,0.0,0
50,52951,4,1.0,0.0,0.9210774845309104,0.0,0
50,31957,21,0.4549519724025679,1.0,0.0,0.0,1
16,65542,0,0.0,0.0,0.0,0.0,0
65,32242,4,1.0,0.0,1.0,0.0,0
23,59778,0,1.0,0.0,0.7156616909465244,0.0,0
55,39921,8,1.0,0.0,0.8075308663556904,0.057602226005241515,0
46,34547,5,1.0,0.0,0.9259459594766892,0.0,0
55,40329,8,1.0,0.0,1.0,0.0,0
85,68446,3,1.0,0.0,1.0,0.0,0
18,37651,0,1.0,0.0,0.0,1.0,0
59,43779,16,0.7285660411012368,1.0,0.0,0.0,1
22,62333,4,1.0,0.0,1.0,1.0,0
48,52686,10,1.0,0.0,1.0,0.9917503454465558,0
68,51660,8,1.0,0.0,1.0,0.0,0
20,33106,13,0.0,0.0,0.6997184679468434,0.0,0
61,18037,8,1.0,0.0,1.0,0.6196889216121123,0
0,56376,0,1.0,0.0,1.0,0.6164221048147337,0
44,71844,10,0.0,0.0,1.0,0.0,0
17,46568,0,1.0,0.0,1.0,1.0,0
12,26307,0,1.0,0.0,0.7628332894955117,1.0,0
40,34626,11,1.0,0.0,1.0,0.07541774261246036,0
17,56922,5,0.0,0.0,1.0,0.0,1
71,43943,11,1.0,1.0,0.0,0.0,1
11,42127,4,1.0,0.3823767771146991,1.0,0.0,0
76,63097,6,1.0,0.0,1.0,0.0,0
72,43880,5,1.0,0.0,1.0,0.9088124113499689,0
11,30489,0,0.0,0.2704309609356521,1.0,0.7293118165382786,0
8,53033,0,1.0,0.035137749724381884,1.0,0.0,0
54,60147,20,0.0,0.0,0.005531486510417238,0.9714218648162062,1
49,39827,16,0.025498027336253948,0.7415279016673458,0.0,0.7462485394318988,1
-21,58833,11,0.0,0.0,1.0,0.0,1
-21,62095,6,0.0,0.0,1.0,0.0,1
71,76590,11,1.0,1.0,0.0,0.0,1
35,41509,4,1.0,0.0,0.2841260591757555,0.3160681424016309,0
14,36761,10,0.0,0.0,1.0,0.0,1
30,56391,10,0.9520910401497604,0.0,1.0,0.5205018830769746,0
51,62389,1,1.0,1.0,0.0,0.7616721862950018,1
8,23894,6,1.0,0.0,1.0,0.8955255374169739,0
-3,59619,0,1.0,0.0,1.0,0.0,0
45,31248,12,1.0,0.0,1.0,0.0,0
80,44087,4,1.0,0.0,1.0,0.7600229424410339,0
52,39104,11,0.9690089430393712,0.0,0.0,0.50997691724033,1
56,55393,11,1.0,0.0,1.0,0.41857288599115444,0
17,49110,2,1.0,0.0,1.0,0.6961362419695681,0
72,62236,10,1.0,0.0,1.0,0.0,0
2,29959,0,0.7314748128858146,0.0,0.9173182479723926,0.010636268348681152,0
13,39532,0,0.0,0.0,0.3643924653361674,0.0,0
42,42429,3,1.0,0.0,0.5929814982580796,0.0,0
13,66472,10,0.0,0.0,1.0,0.0,1
27,35174,2,0.7506606509634356,0.0,0.9329719769909107,0.3438678131479371,0
12,56316,1,0.9578244044760255,0.0,0.8552486979436184,0.0,0
47,24242,3,1.0,1.0,0.0,0.0,1
9,29056,0,0.0,0.0,1.0,0.9566228117354912,0
46,58728,10,0.7300511505813073,0.0,1.0,1.0,0
51,33530,10,1.0,0.022329552956524168,0.0,0.0,1
47,44347,9,1.0,0.0,1.0,0.5146715543882296,0
30,73240,8,0.2787682361838959,0.0,1.0,0.749013955074131,0
3,23411,0,1.0,0.0,1.0,0.0,0
21,26592,0,0.9246272507189242,0.0,0.504963831788943,0.0,0
25,50325,4,1.0,0.0,1.0,0.02846344841915499,0
15,41130,0,0.1592415442400983,0.0,0.1430393522676292,0.0,0
17,56696,1,1.0,0.0,1.0,0.9082221265959503,0
11,47866,0,0.0,0.0,0.0,0.0,0
28,54771,7,0.0,0.0,1.0,0.0,1
3,28622,0,0.5492184765276812,0.0,0.781430369526078,0.624287956648842,0
67,21979,4,1.0,0.0,0.8177620093288717,0.0,0
50,11799,11,0.7930297274139105,0.0,1.0,0.0,0
11,48723,3,1.0,0.0,1.0,0.23125774718408365,0
18,47827,1,1.0,0.0,0.0,1.0,0
-9,45233,13,0.0,0.0,0.0,0.0,1
49,71356,8,1.0,0.0,1.0,0.0,0
10,56841,7,0.0,0.0,1.0,0.3528336431526199,1
38,35504,3,1.0,0.0,0.21403925928169532,0.0,0
51,44056,4,1.0,0.0,0.0,0.0,0
30,64752,4,1.0,0.0,0.42013781265845207,0.2233023395522055,0
23,43964,2,1.0,0.0,1.0,0.0,0
47,31192,9,0.16801865702602203,0.0,1.0,0.3055643843570512,0
12,49755,0,0.6160707006395771,0.0,1.0,0.0,0
8,64291,5,0.0,0.0,1.0,0.0,1
8,32081,9,0.0,0.0,0.0,0.0,1
37,68416,0,1.0,1.0,0.0,0.0,1
32,43202,6,1.0,0.0,1.0,0.0,0
11,77389,11,0.0,0.0,1.0,0.2933435419272292,1
15,48248,0,1.0,0.0,1.0,0.03438182225793511,0
45,45486,10,0.0,0.0,0.900320869914034,0.0,0
56,39621,8,1.0,1.0,0.0,1.0,1
57,76054,2,1.0,1.0,0.0,0.0,1
77,65542,5,1.0,0.0,1.0,1.0,0
72,15283,8,1.0,0.0,0.9534116863041111,1.0,0
4,48591,0,1.0,0.0,1.0,0.10653496705378047,0
45,64551,8,0.7746204129906882,0.0,1.0,0.0,0
52,55764,6,1.0,0.0,0.8554125833793864,0.0,0
45,67876,16,0.0,1.0,1.0,0.0,0
57,41675,8,0.0,0.0,1.0,0.0,1
42,73582,3,1.0,1.0,0.0,1.0,1
52,54175,0,1.0,1.0,0.0,1.0,1
0,65795,0,1.0,0.0,1.0,0.19490720526237576,0
50,70360,4,1.0,0.0,1.0,0.2769945204271254,0
44,16180,12,1.0,0.0,1.0,0.6141129671981066,0
8,34036,0,0.0,0.0,1.0,1.0,0
56,53393,17,0.0,0.0,0.0,0.0,1
-1,56947,0,0.7698323596038071,0.0,1.0,1.0,0
11,60756,2,0.4060641891902219,0.0,1.0,0.0,0
17,73185,0,0.4180647361046341,0.0,0.0,0.0,0
26,43931,1,1.0,0.0,0.15525697431933327,0.39311465605803403,0
14,52633,9,1.0,0.0,1.0,0.7983480513491078,0
38,46960,9,0.4902443818876647,0.0,0.0,0.0,1
61,61323,8,1.0,0.0,1.0,0.4901815174907414,0
42,36732,8,1.0,0.0,1.0,0.0,0
28,55782,2,0.7766215753679621,0.0,0.13321709294897377,0.0,0
36,66973,16,0.0,0.7217533113435679,1.0,0.0,0
12,58024,11,0.0,0.0,1.0,0.0,1
18,36136,0,0.0,0.0,0.0,0.972911070368237,0
21,56160,0,0.0,0.0,0.0,1.0,0
21,61035,0,1.0,0.0,1.0,0.03400925486107758,0
77,53397,8,1.0,0.0,1.0,0.46005434144644425,0
56,40673,9,1.0,0.0,1.0,0.25442645742672076,0
74,55627,12,1.0,0.7472046784576958,1.0,1.0,0
42,73174,9,1.0,0.0,1.0,0.0,0
20,24974,2,1.0,0.0,1.0,0.0,0
25,29155,14,0.0,0.0,1.0,0.019205968003691544,0
20,50252,0,0.06858085852319484,0.0,0.0,1.0,0
27,47211,10,0.0,0.0,0.42015780826453586,0.0,0
9,41215,14,0.0,0.0,1.0,0.0,1
55,30642,8,1.0,0.0,1.0,0.0,0
68,13175,9,1.0,0.0167173960267899,1.0,0.0,0
37,59052,5,1.0,1.0,0.0,1.0,1
19,24434,7,0.0,0.0,0.5609348914109931,0.26252801232332496,1
53,38908,2,1.0,0.0,0.5967347766707745,1.0,0
35,73178,10,0.0,0.0,1.0,1.0,1
51,43289,9,1.0,0.0,1.0,1.0,0
62,61529,8,1.0,0.0,1.0,0.0,0
21,75666,1,1.0,0.0,1.0,0.0,0
1,61850,0,1.0,0.0,1.0,0.4667552048385791,0
13,54315,0,0.0,0.0,0.42667093636402575,0.4126650231818217,0
38,50733,10,0.5936797803868434,0.0,1.0,0.7707688064351387,0
16,62400,1,1.0,0.0,0.7827921479988035,0.0,0
71,46241,6,1.0,0.0,1.0,0.4565023351677955,0
33,34397,3,1.0,1.0,0.0,0.0,1
30,13070,2,1.0,1.0,0.0,0.0,1
-2,43865,0,0.0,0.0,1.0,0.37448557759128565,0
80,52119,10,0.7057811917971315,1.0,0.0,0.6625625498799194,1
93,65917,3,1.0,0.0,0.9649945943056415,0.4833248272528027,0
14,71095,0,0.6401375387909188,0.0,0.9826829287033769,0.5052110240856904,0
13,78212,0,0.19388488074294852,0.0,0.3150114517077218,0.0,0
32,58968,10,0.022871705148348465,0.0,0.9663115279140899,0.04109638193320572,0
41,74272,8,1.0,0.0,1.0,0.33121927873852836,0
18,35060,0,0.08488006849182672,0.0,0.30595830285409287,0.23776116459489285,0
41,37171,9,0.8397664220970171,0.0,1.0,1.0,0
75,52966,9,1.0,0.23155897932409708,1.0,1.0,0
9,53313,0,0.0,0.0,0.7176270026869981,0.0,0
0,48241,6,0.0,0.3260902188998662,1.0,0.5925337195872442,1
9,88484,7,0.0,0.0,0.0,0.9802629527216836,1
10,51155,5,0.0,0.0,1.0,0.05236289720326249,1
64,61498,7,1.0,0.0,1.0,0.215220732950218,0
31,40389,3,1.0,0.0,0.9819049157316575,0.0,0
8,57199,0,1.0,0.0,1.0,1.0,0
32,63248,3,1.0,0.0,0.9535493849611109,0.0,0
45,49813,8,1.0,0.0,0.721137806844087,0.6450378554489973,0
48,58018,12,1.0,0.0,0.0,0.0,1
25,55656,8,0.0,0.0,0.7544692576521311,0.0,0
26,41782,9,0.0,0.0,0.3238995741796691,0.0,1
33,48554,3,1.0,0.0,0.0,0.8809151690332453,0
75,39966,3,1.0,0.0,1.0,0.9118317785133704,0
42,58887,6,1.0,0.0,0.7042252047979208,0.00397495651718248,0
75,24663,9,1.0,1.0,0.0,0.0,1
-20,55265,8,0.0,0.0,1.0,0.7027256732712895,1
28,52766,5,1.0,0.0,1.0,0.0,0
27,44831,5,1.0,0.0,1.0,0.0,0
14,61310,2,1.0,0.0,0.0,0.0,0
34,78575,17,0.0,0.0,1.0,0.7968048330570654,1
41,49619,6,1.0,0.0,0.7937749679919429,0.0,0
54,42764,7,1.0,1.0,0.0,0.0,1
17,64608,0,1.0,0.0,1.0,0.08823575388594865,0
37,34393,6,1.0,0.0,0.43759000111389823,0.0,0
5,48729,1,0.2413684144497832,0.0,1.0,0.14376464310858494,0
34,43153,4,0.0,0.0,1.0,0.0,1
48,62083,13,1.0,0.0,1.0,0.03249986288786191,0
6,48724,2,1.0,0.0,1.0,1.0,0
20,65337,1,1.0,0.0,0.7369383311746311,0.0,0
85,68365,7,1.0,0.0,1.0,0.8227173745004389,0
23,42621,2,1.0,0.0,1.0,0.0,0
35,51852,10,0.0,0.0,1.0,0.23005561154550086,1
53,57043,0,1.0,1.0,0.0,0.10103348798279618,1
60,48583,16,0.8873153576003611,0.0,0.0,0.0,1
52,47452,10,0.7054787124926472,0.0,1.0,0.0,0
54,21920,10,0.8499110270722989,0.4942783201093486,0.0,0.0,1
11,43305,0,0.6860024190577015,0.0,1.0,0.6589541347810364,0
12,68142,2,0.0,0.0,1.0,0.08910076670387657,1
20,37404,8,0.0,0.0,1.0,0.0,1
16,70106,9,0.0,0.0,1.0,1.0,1
